"User","Recommendations","Matches"
1,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",0
2,"pulp fiction 1994; die hard 1988; quiet american the 2002",0
3,"roman holiday 1953; kolya kolja 1996; whats eating gilbert grape 1993",0
4,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",0
5,"quiet american the 2002; whats eating gilbert grape 1993; easy rider 1969",0
6,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",0
7,"monsters inc 2001; toy story 1995; space jam 1996",0
8,"roman holiday 1953; kolya kolja 1996; mrs doubtfire 1993",0
9,"pulp fiction 1994; roman holiday 1953; die hard 1988",1
10,"roman holiday 1953; kolya kolja 1996; whats eating gilbert grape 1993",0
11,"monsters inc 2001; whats eating gilbert grape 1993; toy story 1995",0
12,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",0
13,"pulp fiction 1994; whats eating gilbert grape 1993; benny  joon 1993",0
14,"whats eating gilbert grape 1993; star wars episode iv  a new hope 1977; usual suspects the 1995",0
15,"die hard 1988; apollo 13 1995; kill bill vol 1 2003",0
16,"die hard 1988; whats eating gilbert grape 1993; benny  joon 1993",0
17,"thing from another world the 1951; star wars episode iv  a new hope 1977; star wars episode v  the empire strikes back 1980",1
18,"monsters inc 2001; whats eating gilbert grape 1993; toy story 1995",0
19,"whats eating gilbert grape 1993; cool hand luke 1967; glengarry glen ross 1992",0
20,"die hard 1988; benny  joon 1993; star wars episode iv  a new hope 1977",0
21,"monsters inc 2001; toy story 1995; odd couple the 1968",0
22,"die hard 1988; one the 2001; godfather part ii the 1974",0
23,"roman holiday 1953; die hard 1988; kolya kolja 1996",0
24,"monsters inc 2001; die hard 1988; quiet american the 2002",0
25,"pulp fiction 1994; roman holiday 1953; die hard 1988",0
26,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",1
27,"monsters inc 2001; roman holiday 1953; player the 1992",0
28,"pulp fiction 1994; player the 1992; die hard 1988",1
29,"whats eating gilbert grape 1993; one the 2001; odd couple the 1968",0
30,"whats eating gilbert grape 1993; benny  joon 1993; christmas story a 1983",0
31,"one the 2001; star wars episode iv  a new hope 1977; star trek ii the wrath of khan 1982",0
32,"roman holiday 1953; die hard 1988; kolya kolja 1996",0
33,"roman holiday 1953; die hard 1988; kolya kolja 1996",0
34,"pulp fiction 1994; roman holiday 1953; die hard 1988",1
35,"roman holiday 1953; player the 1992; die hard 1988",1
36,"pulp fiction 1994; roman holiday 1953; player the 1992",0
37,"kolya kolja 1996; whats eating gilbert grape 1993; hobbit an unexpected journey the 2012",0
38,"roman holiday 1953; kolya kolja 1996; whats eating gilbert grape 1993",0
39,"roman holiday 1953; whats eating gilbert grape 1993; benny  joon 1993",1
40,"roman holiday 1953; kolya kolja 1996; benny  joon 1993",0
41,"pulp fiction 1994; roman holiday 1953; player the 1992",1
42,"roman holiday 1953; whats eating gilbert grape 1993; one the 2001",0
43,"roman holiday 1953; die hard 1988; kolya kolja 1996",1
44,"roman holiday 1953; kolya kolja 1996; odd couple the 1968",0
45,"monsters inc 2001; roman holiday 1953; die hard 1988",1
